Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjE0MzU0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY5MDU2NDc5ODI5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 151.699","Honda Hr-V TOURING","2021","23.103 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjExMTc3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjcwODY4NTQ1MjI0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 94.999","Chery Arrizo 6 GSX","2021","23.988 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwNjU3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY5OTkzNDEwNDg4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 95.299","Chery Arrizo 6 GSX","2021","22.851 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwNDYxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY3ODUxMDk3ODM1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 112.299","Volkswagen T-Cross 250 TSI TOTAL HIGHLINE","2020","31.868 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwNDI3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4MTE4MTk0NDk1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 111.099","Jeep Compass LIMITED","2018","53.743 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwNDIyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4MTExMDc2OTE1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 81.299","Volkswagen Virtus 200 TSI COMFORTLINE","2020","40.101 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwMzI0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4Nzc1NTE5NjEzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 54.999","Fiat Argo FIREFLY DRIVE","2018","65.000 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwMDAxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4NjMyMjY5MzQwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 111.899","Honda Hr-V EX","2020","38.790 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjA5NDgzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4ODc4MTY5MzE1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 49.499","Jac T6 JET","2016","69.298 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjA5Mjk5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY2ODE0NzM1MTA5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 94.899","Hyundai Creta SPORT","2018","25.599 km","São Paulo"
