Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTU3NjM0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQxNzQ0MTcxMjQ0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 45.954","Fiat Uno EVO SPORTING","2016","85.000 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTU1NTQ1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQyMjU3NDQ1MjAxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 114.533","Audi Q3 TFSI ATTRACTION","2018","50.750 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTU1MTA2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQwNzc3MzcxMDA4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 98.068","Volkswagen T-Cross 200 TSI TOTAL COMFORTLINE","2020","43.933 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTU0NzU4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQwODE5NDE1MjU4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 68.020","Fiat Cronos E.TORQ PRECISION","2019","45.852 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTU0NTU1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQwNzE5NzU3MjMxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 121.537","Volkswagen Golf TSI GTI TURBO","2016","93.500 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUzOTUyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQwODEyOTkyMjEwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 137.955","Jeep Compass LONGITUDE","2020","15.664 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUzNzQxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQyNzE5NTkyODk5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 80.224","Ford Eco Sport TI-VCT FREESTYLE","2020","19.030 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUzMzg4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQyOTQzMDk1MjM0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 67.274","Volkswagen Jetta TSI HIGHLINE","2014","101.000 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUyOTY5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQyNDQ3NDMxNTUwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 77.056","Mercedes Benz A 200 TURBO STYLE","2013","95.423 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUxODc2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQxNzA5MDY0NDU1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 53.259","Fiat Argo FIREFLY DRIVE","2018","69.185 km","Minas Gerais"
